"","node","mux","agg","layer1","layer2","layer3"
"1",1,22,75,11,43,21
"2",2,29,75,11,43,21
"3",3,24,75,11,43,21
"4",4,16,75,11,43,21
"5",5,25,75,11,43,21
"6",6,21,75,11,43,21
"7",7,43,75,11,43,21
"8",8,32,75,11,43,21
"9",9,24,75,11,43,21
"10",10,17,75,11,43,21
"11",11,30,75,11,43,21
"12",12,23,75,11,43,21
"13",13,26,75,11,43,21
"14",14,31,75,11,43,21
"15",15,38,75,11,43,21
"16",16,21,75,11,43,21
"17",17,28,75,11,43,21
"18",18,21,75,11,43,21
"19",19,22,75,11,43,21
"20",20,4,19,19,0,0
"21",21,1,19,0,19,0
"22",22,5,19,0,19,0
"23",23,1,19,0,19,0
"24",24,5,19,0,19,0
"25",25,18,19,0,19,0
"26",26,3,19,0,19,0
"27",27,1,19,0,19,0
"28",28,3,19,0,19,0
"29",29,11,19,0,19,0
"30",30,7,19,0,19,0
"31",31,2,19,0,19,0
"32",32,2,19,0,19,0
"33",33,1,19,0,19,0
"34",34,3,19,0,19,0
"35",35,3,19,0,19,0
"36",36,17,19,0,19,0
"37",37,19,19,0,19,0
"38",38,7,19,0,19,0
"39",39,2,19,0,0,19
"40",40,3,19,0,19,0
"41",41,3,19,0,19,0
"42",42,1,19,0,0,19
"43",43,2,19,0,19,0
"44",44,11,19,0,19,0
"45",45,5,19,0,19,0
"46",46,4,19,0,19,0
"47",47,10,19,0,19,0
"48",48,15,19,0,0,19
"49",49,19,19,0,0,19
"50",50,9,19,19,0,0
"51",51,12,19,0,0,19
"52",52,15,19,0,19,0
"53",53,7,19,0,19,0
"54",54,5,19,0,19,0
"55",55,1,19,0,19,0
"56",56,17,19,19,0,0
"57",57,1,19,19,0,0
"58",58,1,19,0,19,0
"59",59,2,19,0,19,0
"60",60,3,19,19,0,0
"61",61,1,19,0,19,0
"62",62,2,19,0,19,0
"63",63,1,19,0,19,0
"64",64,4,19,19,0,0
"65",65,7,19,19,0,0
"66",66,3,19,19,0,0
"67",67,2,19,0,19,0
"68",68,16,19,0,0,19
"69",69,14,19,0,0,19
"70",70,7,19,0,0,19
"71",71,7,19,0,0,19
"72",72,19,19,0,0,19
"73",73,16,19,0,0,19
"74",74,10,19,0,19,0
"75",75,2,19,0,19,0
"76",76,6,19,0,0,19
"77",77,3,19,0,19,0
"78",78,10,19,0,0,19
"79",79,5,19,0,0,19
"80",80,10,19,0,0,19
"81",81,14,19,0,0,19
"82",82,2,19,0,0,19
"83",83,7,19,0,0,19
"84",84,2,19,0,19,0
"85",85,9,19,0,19,0
"86",86,3,19,0,19,0
"87",87,3,19,19,0,0
"88",88,17,19,0,0,19
"89",89,12,19,0,0,19
"90",90,3,19,19,0,0
"91",91,4,19,0,0,19
"92",92,1,19,0,19,0
"93",93,5,19,0,19,0
"94",94,5,21,19,0,0
