id,node,mux,agg,layer1,layer2,layer3
1,1,174,348,43,44,87
2,2,609,1218,37,71,501
3,3,336,672,21,135,180
4,4,214,428,8,49,157
5,5,286,572,64,73,149
6,6,137,274,62,58,17
7,7,460,920,88,200,172
8,8,352,704,9,236,107
9,9,180,360,6,25,149
10,10,148,296,75,46,27
11,11,167,334,68,81,18
12,12,265,530,101,48,116
13,13,186,372,5,75,106
14,14,286,572,20,188,78
15,15,534,1068,110,316,108
16,16,412,824,24,27,361
17,17,204,408,21,47,136
18,18,226,452,12,53,161
19,19,251,502,21,57,173
20,20,31,62,31,0,0
21,21,1,2,0,1,0
22,22,6,12,0,6,0
23,23,3,6,0,3,0
24,24,52,104,0,52,0
25,25,482,964,0,482,0
26,26,8,16,0,8,0
27,27,1,2,0,1,0
28,28,4,8,0,4,0
29,29,19,38,0,19,0
30,30,56,112,0,56,0
31,31,2,4,0,2,0
32,32,2,4,0,2,0
33,33,2,4,0,2,0
34,34,15,30,0,15,0
35,35,3,6,0,3,0
36,36,41,82,0,41,0
37,37,577,1154,0,577,0
38,38,26,52,0,26,0
39,39,2,4,0,0,2
40,40,3,6,0,3,0
41,41,4,8,0,4,0
42,42,7,14,0,0,7
43,43,5,10,0,5,0
44,44,113,226,0,113,0
45,45,17,34,0,17,0
46,46,7,14,0,7,0
47,47,112,224,0,112,0
48,48,200,400,0,0,200
49,49,662,1324,0,0,662
50,50,118,236,118,0,0
51,51,61,122,0,0,61
52,52,133,266,0,133,0
53,53,9,18,0,9,0
54,54,8,16,0,8,0
55,55,1,2,0,1,0
56,56,288,576,288,0,0
57,57,62,124,62,0,0
58,58,1,2,0,1,0
59,59,2,4,0,2,0
60,60,33,66,33,0,0
61,61,1,2,0,1,0
62,62,5,10,0,5,0
63,63,1,2,0,1,0
64,64,40,80,40,0,0
65,65,11,22,11,0,0
66,66,15,30,15,0,0
67,67,6,12,0,6,0
68,68,252,504,0,0,252
69,69,132,264,0,0,132
70,70,11,22,0,0,11
71,71,26,52,0,0,26
72,72,588,1176,0,0,588
73,73,112,224,0,0,112
74,74,49,98,0,49,0
75,75,4,8,0,4,0
76,76,25,50,0,0,25
77,77,4,8,0,4,0
78,78,25,50,0,0,25
79,79,8,16,0,0,8
80,80,42,84,0,0,42
81,81,150,300,0,0,150
82,82,4,8,0,0,4
83,83,22,44,0,0,22
84,84,2,4,0,2,0
85,85,28,56,0,28,0
86,86,7,14,0,7,0
87,87,9,18,9,0,0
88,88,121,242,0,0,121
89,89,347,694,0,0,347
90,90,130,260,130,0,0
91,91,6,12,0,0,6
92,92,1,2,0,1,0
93,93,6,12,0,6,0
94,94,58,118,58,0,0
