# Trees, interlayer
layer_from,node_from,layer_to,node_to,weight
Herbivory,pm1933,Pollination,pm1933,2
Herbivory,pm1931,Pollination,pm1931,2
Herbivory,pm1932,Pollination,pm1932,2
Herbivory,pm1934,Pollination,pm1934,2
Herbivory,pm1936,Pollination,pm1936,2
Herbivory,pm1937,Pollination,pm1937,2
Herbivory,pm1938,Pollination,pm1938,2
Herbivory,pm1939,Pollination,pm1939,2
Herbivory,pm1940,Pollination,pm1940,2
Herbivory,pm1921,Pollination,pm1921,2
Herbivory,pm1823,Pollination,pm1823,2
Herbivory,pm1824,Pollination,pm1824,2
Herbivory,pm1820,Pollination,pm1820,2
Herbivory,pm1825,Pollination,pm1825,2
Herbivory,pm1929,Pollination,pm1929,2
Herbivory,pm8801,Pollination,pm8801,2
Herbivory,pm8808,Pollination,pm8808,2
Herbivory,pm8814,Pollination,pm8814,2
Herbivory,pm8865,Pollination,pm8865,2
Pollination,pm1933,Dispersal,pm1933,2
Pollination,pm1931,Dispersal,pm1931,2
Pollination,pm1932,Dispersal,pm1932,2
Pollination,pm1934,Dispersal,pm1934,2
Pollination,pm1936,Dispersal,pm1936,2
Pollination,pm1937,Dispersal,pm1937,2
Pollination,pm1938,Dispersal,pm1938,2
Pollination,pm1939,Dispersal,pm1939,2
Pollination,pm1940,Dispersal,pm1940,2
Pollination,pm1921,Dispersal,pm1921,2
Pollination,pm1823,Dispersal,pm1823,2
Pollination,pm1824,Dispersal,pm1824,2
Pollination,pm1820,Dispersal,pm1820,2
Pollination,pm1825,Dispersal,pm1825,2
Pollination,pm1929,Dispersal,pm1929,2
Pollination,pm8801,Dispersal,pm8801,2
Pollination,pm8808,Dispersal,pm8808,2
Pollination,pm8814,Dispersal,pm8814,2
Pollination,pm8865,Dispersal,pm8865,2
